Date,Delaware (DE),Florida (FL),Georgia (GA),Maryland (MD),North Carolina (NC),South Carolina (SC),Virginia (VA),District of Columbia (DC),West Virginia (WV),Alabama (AL),Kentucky (KY),Mississippi (MS),Tennessee (TN),Arkansas (AR),Louisiana (LA),Oklahoma (OK),Texas (TX)
2017-06-30,160.17676052,198.31732089,141.05841901,187.6433015,147.95686006,148.08662243,187.63294975,342.19950687,146.20655079,137.94220001,144.00359401,135.84124273,160.86416306,143.40097302,163.42259031,155.16433874,188.84129635
2017-07-31,161.03549251,199.80521979,141.73354737,188.32007633,148.06311707,149.23650401,187.87148414,342.03176002,146.60036137,137.83650022,144.8978923,136.57980332,161.77891121,144.05336253,164.20412301,155.80377464,189.20298319
2017-08-31,161.21877177,201.35649762,141.84758617,188.32662778,148.00155772,149.57925103,187.42647838,340.43388831,146.64253971,137.56356499,145.3238223,136.54956328,162.43056236,144.16136734,164.99137441,156.35538195,189.29407512
2017-09-30,160.84077612,202.43842293,141.67475194,188.15669692,147.95207212,149.61951027,186.52167642,338.93627637,146.3908803,137.6132272,145.16204821,136.31886339,162.96373832,144.04742591,165.16679782,156.70032013,189.41092906
2017-10-31,160.3512357,202.87288879,141.86127625,187.84881997,148.13078878,149.5205043,185.94730391,338.74323556,146.19991799,137.81204317,144.80595307,136.18344597,163.4254499,144.09878032,164.86453602,156.6210791,189.6743994
2017-11-30,160.18117956,203.32514049,142.74415951,187.09462954,148.55186773,149.32067559,185.79971617,340.22033608,146.40156398,137.75471808,144.32563778,136.11496533,163.81645173,143.99053202,164.42797815,156.16773573,189.9925057
2017-12-31,160.62322067,204.16980213,143.83391214,186.49787476,148.93926348,149.42313659,185.87273249,342.44106879,146.92836682,137.75385163,143.68348965,136.21971632,163.92643122,143.71630561,164.13760455,155.70304633,190.33922653
2018-01-31,161.63785146,205.36714471,144.79510494,186.8865631,149.6276994,150.05555717,186.53990743,344.71050578,147.54733229,138.39074284,143.68437188,136.67997351,164.05242237,143.87997311,164.29623041,155.75540859,190.54059346
2018-02-28,162.90728862,206.89662973,146.25476505,188.29623774,150.95775118,151.58301073,188.18938375,347.27906176,148.33119745,139.69089885,144.92106607,137.4664794,164.97739668,144.84460312,164.96787778,156.54060237,191.87142666
2018-03-31,164.10044435,208.88276225,148.39590294,190.35374753,152.65728409,153.67216974,190.27586042,350.36071825,149.41412712,141.2993447,146.75449205,138.35177952,166.77089214,146.22861092,165.77622522,157.8550635,194.21103879
2018-04-30,165.0751371,211.28091913,150.47790525,192.30594814,154.49175724,155.57231603,192.03195238,353.2476076,150.56738972,142.85189888,148.42254868,139.15157725,168.86170749,147.39855487,166.72004317,159.36471272,196.24344987
2018-05-31,166.17107695,212.96218752,151.8917136,193.64992959,156.11401045,156.86082309,193.04574376,354.70764277,151.45740774,144.28805856,149.85968787,139.80790303,170.74929419,148.42538604,167.60523201,160.39371738,197.69315951
2018-06-30,167.37204675,213.78609466,152.69907498,194.25504454,157.12506931,157.4765892,193.50835995,354.81061767,151.97448586,145.38049673,150.79174514,140.16362981,171.92992474,149.28232175,167.97340154,160.66058866,198.51864597
2018-07-31,168.01961581,214.50270782,153.19181426,194.16111915,157.64913738,157.76516956,194.03980292,354.55889161,152.12582697,145.84628104,151.15408936,140.33871021,172.55153429,149.70668383,167.89851205,160.9450287,198.950764
2018-08-31,167.92714299,214.82290306,153.45129,193.82071329,157.98898091,158.11269038,194.24418072,354.74827765,151.99172414,145.81223123,151.33548851,140.52647906,172.92984029,149.88880151,167.71019356,161.40364145,199.51813259
2018-09-30,167.49580959,215.19604444,153.62737642,193.46702805,158.1075595,158.69019365,194.00063394,355.46463462,151.59607426,145.68868247,151.66841759,140.71113459,173.15825692,150.0596595,167.36556214,161.65341872,199.49760363
2018-10-31,167.31154455,216.06434322,153.98131253,192.7538788,158.39078569,159.22459375,193.90467105,356.21152328,150.92287663,145.64662951,152.00813424,141.016431,173.63753316,150.13096746,167.05320505,161.56802447,198.8695307
2018-11-30,167.52873015,216.40837615,154.12242436,191.64969934,158.90543188,159.62028952,193.79857778,356.40161978,150.30357594,145.59788571,151.81663171,141.37624551,174.20634215,150.13257293,167.04852381,161.33145802,198.55735179
2018-12-31,167.96890554,216.27912157,153.95146142,190.94017387,159.07864437,159.59636486,193.56080521,356.2746267,149.9421297,145.88889286,151.42501322,141.70160771,174.35163384,150.27461393,167.23084064,161.35488657,198.34852173
2019-01-31,168.60367356,216.91455348,153.90891078,191.09063949,159.05771374,159.51433431,193.66459706,356.87883627,149.94425868,146.69035361,151.52318374,142.07597769,174.40834123,150.70599469,167.40252272,161.88177534,198.71300299
2019-02-28,169.47299141,218.1590842,154.37986227,191.83086077,159.7410257,160.0837753,194.99082256,358.37332713,150.33206178,147.78451729,152.23852658,142.56521567,175.19565973,151.52441811,167.80664068,162.7838256,199.98265103
2019-03-31,170.55209579,219.35798055,155.74747638,193.37737426,161.259092,161.46304222,197.20115646,360.11418659,151.11088262,148.88692411,153.33751617,143.10568775,176.94403059,152.56927928,168.8209919,163.57715257,201.65047109
2019-04-30,171.67973041,220.64330782,157.9346429,195.53336308,163.01462273,163.53499077,199.15381366,361.96617527,152.14414246,149.69429221,154.72383016,143.6277218,179.07364494,153.52178073,169.98490087,164.22787159,203.46828991
2019-05-31,172.75066264,222.03588463,159.83370814,197.0929322,164.36631791,165.1502759,200.57538445,364.08706357,153.01018583,150.48756195,156.14458726,144.36061282,180.70878393,154.3039566,170.64539779,164.88182072,204.95920536
2019-06-30,173.67991032,223.12101807,160.50971627,197.48805144,165.02383974,165.64957269,201.42793203,365.86879772,153.65495163,151.3259337,157.06161634,145.1420308,181.72690237,155.01224207,170.80830298,165.75772913,205.94657384
2019-07-31,174.21797711,223.78870778,160.81064553,197.39593136,165.44859675,165.46982909,201.78136955,366.62570087,154.13195502,151.71329387,157.30832599,145.45432161,182.36957466,155.58593197,170.79197442,166.78837898,206.47959373
2019-08-31,174.17717152,224.55053877,161.27638351,197.38408395,166.10188995,165.38268043,201.72285637,366.72169757,154.25967751,151.78836195,157.44914727,145.41369958,182.88448705,156.02928743,170.78681901,167.50992881,206.35663553
2019-09-30,173.76549157,225.6519764,161.5851539,197.71613505,167.09048761,165.82719668,201.38959251,366.44618305,153.85057796,152.20306035,157.86820586,145.38522879,183.35714313,156.26147045,171.08471405,167.38790095,206.17880003
2019-10-31,173.57167815,226.56166948,161.67945356,198.02472847,168.0340034,166.41835019,201.20713719,365.97695343,152.94778457,152.84237552,157.9944919,145.26613901,183.7259205,156.37282495,171.62624283,166.71161072,205.91015215
2019-11-30,174.06933968,227.19606096,161.85279998,197.70615704,168.39437411,166.40726898,201.56801737,366.05331543,151.85402482,153.22759733,157.72061209,145.05887708,184.2129229,156.31318445,172.07977687,166.22896637,205.80826293
2019-12-31,174.88888512,228.16777353,162.55678946,197.14867863,168.40687577,166.25520404,202.28402961,366.79827633,150.76025597,153.55088852,157.75364614,145.31231325,185.02567282,155.84437585,172.48105597,166.26479746,206.39740171
2020-01-31,175.59442789,229.51078408,163.8915414,197.22282288,168.9711826,167.09269277,203.392846,368.13887485,149.81305264,154.2939865,158.56229118,146.0783199,186.5789575,155.63197621,173.02378268,167.09715102,207.35942827
2020-02-29,176.40228533,231.26445327,165.3855621,198.65385069,170.35952104,168.82293559,205.28690786,370.35027567,149.60113543,155.44390008,159.91083771,146.92770791,188.75476018,156.18613824,173.71385083,168.53775975,208.88079143
2020-03-31,177.4425283,233.065072,166.58300311,200.97384468,171.61257462,170.81946135,207.20524994,373.30879296,150.44230555,156.85067147,161.32775,147.64961223,190.75593772,157.11344208,174.38521646,170.15590096,210.72506626
2020-04-30,178.61035068,234.14283445,167.6045768,202.56810563,172.50856125,172.46186354,208.40560102,376.42097062,152.014615,158.62184979,162.61664534,148.32087822,192.44839537,158.2952938,174.93124836,171.83284485,211.82061533
2020-05-31,179.96891323,234.83086146,168.94972591,203.29996334,174.15546229,173.45303251,209.4226494,379.42216402,153.99303159,160.73270803,164.02272,149.24597046,194.47206878,159.99268007,175.59842167,173.687585,212.83949215
2020-06-30,181.62931164,236.3528898,170.82806088,205.37264016,176.71854909,174.66340365,211.5892592,382.46573206,156.16366178,162.79700283,166.04123102,150.59242278,197.03498872,162.24107327,176.46608078,175.65008117,215.24060192
2020-07-31,183.32152085,239.1634818,173.01961324,209.09003073,178.81969979,176.64027845,214.35756772,385.32066243,158.62737572,164.32047144,168.02828955,152.06084878,199.60398336,164.60890555,177.48051907,177.35097072,218.11149548
2020-08-31,184.77136832,242.56352434,175.19905036,212.3154276,180.36782494,178.7537451,216.54299035,387.52401232,161.21957255,165.71913798,169.49196713,153.33204311,202.08894471,166.71904853,179.29152187,178.8620256,219.9513087
2020-09-30,186.35361918,245.88563565,177.23163172,214.42070643,182.30749276,180.41590042,218.34543632,388.60836827,163.41146561,167.3835948,171.08922877,154.48355519,204.5571634,168.82498219,181.19431127,180.41513415,220.85381811
2020-10-31,188.46904617,249.38226508,178.93253914,215.82590555,184.49791152,181.73479916,220.09556801,388.19854838,164.97360595,168.85535642,172.64608185,155.44131505,206.21930167,170.72277702,182.1181855,181.83885236,222.44585732
2020-11-30,190.92151903,252.21008294,180.12993208,217.14339184,186.4276871,183.16986575,221.67867703,386.87919319,165.82034444,169.91320787,173.85477777,156.08304461,207.42533107,171.83881142,182.35105918,182.90308131,225.10978439
2020-12-31,193.30520448,253.753418,181.19692494,218.67274215,188.08730871,184.72953369,223.30272703,386.04087669,166.15969668,170.52616245,174.8003155,156.54337855,209.10283077,172.43871457,182.27608401,183.87331351,227.56718394
2021-01-31,195.09889585,256.07795331,183.10277025,220.78506906,189.88405242,186.51483177,225.51380026,386.89301806,166.43191178,171.20793186,175.94655201,157.30038779,211.66645268,173.19780668,182.37807581,185.22554569,229.85148348
2021-02-28,196.19280343,260.31124828,186.51421839,223.79572747,192.69265033,188.79843178,228.07400491,390.02832727,166.73871923,172.91422168,178.01412077,158.52174752,215.69381953,174.48007457,183.36379626,186.93489771,233.55880685
2021-03-31,197.07558251,265.52095662,190.95810273,227.15362684,196.43130429,191.6708545,230.81191557,394.73485609,166.88649344,175.72255601,180.52726304,159.79280874,220.50771322,176.42966212,185.36351166,188.74355458,238.51797422
2021-04-30,197.987534,269.994228,195.522622,231.098379,200.299844,195.080794,234.095649,399.188985,167.80501,178.056018,182.995643,160.91074,225.528912,178.297313,186.825305,190.521483,242.690746
