Date,Delaware (DE),Florida (FL),Georgia (GA),Maryland (MD),North Carolina (NC),South Carolina (SC),Virginia (VA),District of Columbia (DC),West Virginia (WV),Alabama (AL),Kentucky (KY),Mississippi (MS),Tennessee (TN),Arkansas (AR),Louisiana (LA),Oklahoma (OK),Texas (TX)
2017-02-28,155.54197038,192.59468836,135.6570603,180.66954259,141.39733589,143.29684302,180.46111578,332.11601622,143.50392107,134.04746253,138.62868794,132.2304171,155.28393299,140.07279694,161.13022031,151.26879382,182.04754456
2017-03-31,156.23873793,193.6700409,136.34052302,181.8117824,142.76093757,143.90482424,181.61727756,333.38536054,143.64955176,134.68158875,139.45659701,132.42351213,156.19911117,140.64607639,161.26044116,152.25570563,182.89549798
2017-04-30,156.92433246,194.6304247,137.00930864,182.84275155,144.31517838,144.34728239,182.68662171,334.72188101,143.84715385,135.46652627,140.38842327,132.81939438,156.96096458,141.09603495,161.54612346,152.94842339,184.29045547
2017-05-31,157.46744538,195.80256629,137.85460797,183.57005212,145.42276497,144.97294718,183.58242377,336.08034229,144.00921317,136.01819723,141.01090467,133.51774826,157.85485635,141.46981784,161.73464714,153.0811374,185.51787097
2017-06-30,157.99730874,196.92327964,138.77487658,184.5425765,145.79791157,146.24180967,183.90092333,337.47749738,144.21606227,136.06421826,141.74906563,134.46747544,158.88958534,141.87460631,161.87824089,153.25546063,185.99268825
2017-07-31,158.63162631,198.42010271,139.63437481,185.47593524,146.14999321,147.56962458,184.45798707,338.02829584,144.3191405,136.10259832,142.50027959,135.19858797,159.83940256,142.35696154,162.86576574,153.59786893,186.60447509
2017-08-31,159.17988042,200.22979536,140.38254018,186.2164622,146.63370725,148.24287443,184.84630895,337.68167152,144.42881552,136.35902009,143.37814105,135.50158547,160.7708114,142.6585667,163.84440432,154.24417022,187.21390917
2017-09-30,159.53872092,201.77961626,140.88625746,186.74812847,147.14615631,148.69007111,185.05095324,337.06644817,144.53397676,137.01394158,143.86571772,135.66550852,161.70400039,142.92203843,164.40599613,155.00756694,188.08522943
2017-10-31,159.82550821,202.53450833,141.65544353,187.1917492,147.85069323,149.09379008,185.36225511,337.70646659,144.92213357,137.84369537,144.22528013,135.84636691,162.86392469,143.47728196,164.50339508,155.68007701,189.22022287
2017-11-30,160.04208635,203.58299393,143.20504314,187.66098081,148.7351246,149.63317322,185.98864155,339.88226647,145.87873602,138.5109289,144.53669581,136.03957879,163.88784152,143.86142736,164.48216121,156.0441844,190.28539114
2017-12-31,160.86153869,205.00853699,144.69987295,188.18819449,149.74113273,150.49169073,186.87820583,342.29850633,147.12647578,139.02472081,144.63214265,136.31533002,164.73557531,144.08800442,164.50516105,156.17281814,191.26555664
2018-01-31,161.96044803,206.3302932,145.93212211,189.14507301,150.79507576,151.46495412,187.93254985,344.19498607,148.20441091,139.63553757,144.81244803,136.7743732,165.29241095,144.56371761,164.82499723,156.3325736,191.73238453
2018-02-28,163.18227376,207.509804,147.14124928,190.03353794,151.89776506,152.66414146,188.87359205,346.10566317,149.05096987,140.48078655,145.8928922,137.42142078,166.05643784,145.30776295,165.30238301,156.66294482,192.49154116
2018-03-31,163.82318767,208.87660743,148.32624726,190.75672201,152.64772059,153.94232208,189.6840354,347.96988328,149.67554176,141.24070113,146.79806931,138.11738553,167.01170786,146.23885662,165.51476693,157.30867852,193.63132872
2018-04-30,164.05656613,210.58556897,149.2116011,190.96253668,153.41537273,154.7655658,189.7106432,349.73947914,149.97865943,142.0584799,147.53775002,138.74291278,168.07201443,146.84055995,165.79795786,158.33071053,194.53669541
2018-05-31,164.55909644,211.80528431,149.81328122,191.09857681,154.26498005,155.31713282,189.85261336,350.10699954,149.99676969,142.90507582,148.02662879,138.88527821,169.06465532,147.3703536,166.28306921,158.88357534,195.15225834
2018-06-30,165.20727047,212.55462842,150.51707034,191.35659584,155.10104785,155.66614883,189.98283146,349.92833966,149.95574764,143.55584536,148.5641709,138.8383843,169.91692266,147.82312631,166.5659034,158.78479825,195.6943845
2018-07-31,165.66925743,213.3883996,151.19206434,191.56383861,155.82558463,156.22047355,190.89676553,350.2531036,149.76233222,144.2176745,148.88953007,139.01467557,170.6334124,148.05659333,166.70072354,158.75530684,196.34121785
2018-08-31,166.01569041,213.92617246,152.01051237,191.78500901,156.74224832,156.80586829,191.7591075,351.71288266,149.62276324,144.74185718,149.53682262,139.47274823,171.31404022,148.37229179,166.7005277,159.2988494,197.36936619
2018-09-30,166.34125413,214.59282473,152.76833797,191.94681726,157.30858978,157.80236564,192.5535065,353.32566923,149.59341766,145.13837445,150.32973889,140.00513582,171.88219788,148.84499287,166.60519327,159.88282556,198.14866894
2018-10-31,166.96994541,215.60111135,153.66638028,192.01882898,158.00188187,158.78787893,193.32286064,355.01351677,149.57504776,145.59819512,151.23536648,140.62187101,173.0585069,149.36701502,166.64355299,160.54760399,198.48429942
2018-11-30,167.4857559,216.56708427,154.42745067,192.14844403,158.87390798,159.89822513,193.92426106,356.0187756,149.74019246,146.24656395,151.88968841,141.2926432,174.24983268,149.86052,166.97770779,161.1761739,198.84256562
2018-12-31,168.12506645,216.98701863,154.69450076,192.55512752,159.66837845,160.64678498,194.35783855,356.25340656,150.14398996,147.02064857,152.33258646,141.82237213,175.14641683,150.61051135,167.44494699,161.8197607,199.19969714
2019-01-31,168.75057323,217.73286896,154.98501414,193.13814045,160.09012294,160.90798303,194.75323117,356.56203309,150.61477378,147.80176643,152.62661107,142.16455723,175.5943572,151.37795382,167.78436217,162.40705405,199.7863605
2019-02-28,169.46516931,218.56040771,155.21951064,193.29000981,160.63584789,161.12648,195.38243058,357.26926813,151.04608684,148.51075147,153.09268847,142.45731866,176.2493543,152.01271947,168.08988858,162.83078273,200.49190021
2019-03-31,170.00080918,219.13713971,155.62138901,193.68659825,161.19066512,161.65161403,196.45267523,357.78592471,151.41003001,148.76361542,153.30139045,142.79227567,177.10290614,152.57628822,168.45852933,163.0082735,200.92606253
2019-04-30,170.56226602,219.90887274,156.66014818,194.25209243,161.94551155,162.55439969,196.85017579,358.38417056,151.62558097,148.94990738,153.85128174,143.18664144,178.18965274,153.01891637,169.08166868,163.19231449,201.75326906
2019-05-31,171.1033813,220.97738818,157.77595283,194.69623855,162.57960499,163.58737104,197.45463063,359.43551545,151.61030803,149.20005973,154.34669554,143.48100075,178.9538198,153.33146582,169.43828836,163.40786836,202.43390312
2019-06-30,171.54957705,222.05815583,158.45286273,194.8278615,163.20391916,163.8479251,198.02551788,360.86738636,151.69214346,149.61268319,154.89647288,143.8529888,179.70165647,153.66986941,169.55512662,163.88407784,203.18250039
2019-07-31,171.94211221,222.9514212,158.90841685,195.05835729,163.69944689,164.01790288,198.80280337,362.03138733,151.75594501,150.19785451,155.15082781,144.15988134,180.46266448,153.97770214,169.69656634,164.56973681,203.80145474
2019-08-31,172.3823498,223.85934232,159.84161368,195.3992022,164.97526776,164.07943251,199.27181167,363.41178929,151.76132248,150.81515269,155.7521948,144.32350493,181.26796236,154.43511527,169.87584798,165.34074276,204.1666625
2019-09-30,172.69878157,225.04215878,160.60034802,196.10182658,166.25595969,164.95579822,199.88507874,364.05828451,151.73259018,151.63856465,156.47007385,144.58081706,182.04090812,154.8772438,170.27034667,165.53538357,204.86352621
2019-10-31,173.33393403,225.96153418,161.23443342,197.1846941,167.48100797,165.98744755,200.5703998,364.57953014,151.51838928,152.64851587,157.07274096,144.78961295,183.08879297,155.43587364,171.11967017,165.6231237,205.57258933
2019-11-30,174.03158858,227.2584364,162.0242897,198.09283434,168.14799319,166.67362127,201.62641435,365.56230563,151.23023891,153.73673431,157.66632423,144.97907161,184.27857545,155.83424808,171.88085778,166.02645603,206.05204843
2019-12-31,174.89437822,228.68933143,163.22605091,198.66245543,168.83266953,167.29386678,202.90982455,366.90891568,150.96864109,154.56252741,158.55734098,145.47337896,185.84357289,156.10464221,172.61557123,166.70884107,207.18059725
2020-01-31,175.58386374,230.26601937,164.99338527,199.15176328,169.88427157,168.47953276,204.24384403,368.05493196,150.49671905,155.32924238,159.61117266,146.17237852,187.76646911,156.33326754,173.35365353,167.58062928,208.33268467
2020-02-29,176.19875399,231.61615837,166.248062,199.94299206,171.24794306,169.85964564,205.48731916,369.31781971,150.31059521,156.17708233,160.71396675,146.77360433,189.78491676,156.73794299,174.01044609,168.55443224,209.33088275
2020-03-31,176.71581541,232.65761133,166.39539702,201.27132829,171.52563348,170.96707511,206.37467006,371.05585536,150.79278705,156.75019335,161.24197762,147.28309661,190.8315674,157.19564827,173.9151987,169.60277635,209.83182596
2020-04-30,177.48467604,233.35166123,166.29560234,201.38709337,171.48554845,171.34069273,206.1794575,372.68770104,151.57440539,157.93609539,161.80114954,147.84853977,191.49124068,157.89481256,174.04214888,170.79539403,210.14659623
2020-05-31,178.31102759,233.85334706,166.87989839,200.9660207,172.39296788,171.84241311,206.3124126,374.57589207,152.61726876,159.46897549,162.20893631,148.38697498,192.61245446,159.07251044,174.45345431,172.19490501,210.31399349
2020-06-30,179.51183536,235.35952352,168.78853608,202.78869438,174.98514704,172.80405726,208.16389349,377.24215667,154.20229664,161.08666846,163.86521108,149.31629965,194.93269562,160.94324249,175.27422285,173.67935725,212.4802028
2020-07-31,181.0514322,238.46705283,171.11289354,206.81553256,177.0342808,175.17431733,211.38177821,380.42997692,156.19498537,162.77514052,165.82842879,150.77490906,197.60654344,162.95469605,176.40037629,175.00285424,215.29086009
2020-08-31,182.98927132,241.9787989,173.65945887,210.21735232,179.22658395,177.38469949,213.98333954,383.92017423,158.55544141,164.69675062,167.75416057,152.18967317,200.34001828,164.97429024,178.42528313,176.54409722,217.60184587
2020-09-30,185.25025904,245.22395469,176.06342037,212.58978745,181.36669162,179.53125631,216.66888907,385.96568736,161.10365923,166.71005367,169.58069078,153.57896918,203.06835304,167.21982369,180.29966522,178.41419074,219.48762373
2020-10-31,188.23145105,248.60549198,178.34496025,214.84556492,183.76739876,181.29019677,219.3138431,386.61274978,163.38860584,168.53390954,171.58469908,154.87271336,205.46880623,169.61947959,181.5048813,180.63610766,222.12566862
2020-11-30,190.84065099,252.20467695,180.20983219,217.47663422,186.02999677,183.43612977,221.67163635,386.2840266,165.10758444,170.39553499,173.71374705,155.97175577,207.53523392,171.19446237,182.04473904,182.6578086,225.3205714
2020-12-31,193.18263318,254.20319698,181.91973173,220.25799092,188.47033756,185.83930166,223.89468902,386.20709639,166.38824013,171.55835518,175.5872728,156.72647127,210.03524596,172.66639862,182.37332314,184.34116116,228.40147995
2021-01-31,195.02507582,256.92767552,184.36821341,222.87431817,190.85700348,188.01892017,226.34434655,386.93657063,167.20639355,172.32066571,177.07533336,157.41664622,213.00356968,173.98573121,182.73816016,185.72876296,230.86107796
2021-02-28,195.90429019,260.71703155,187.49968348,225.18147602,193.70676308,189.93232482,228.24206088,388.99888784,167.54688487,173.77421539,178.85885837,158.35431334,216.80701717,175.16834306,183.72048213,186.94042304,234.03111047
2021-03-31,196.21569089,264.96331846,190.738386,227.51461615,196.35718013,191.83018426,229.917153,392.46218977,167.31689384,175.64200175,180.44048757,159.39625098,220.53499434,176.59569355,184.82614059,188.16600526,237.45757411
2021-04-30,196.813721,269.0749,194.00554,229.870869,199.166425,193.76469,231.724649,395.254519,167.372172,177.3266,182.146971,160.395369,224.399987,177.915319,185.87906,189.396594,240.826171
